corriente,voltage,mA
0.3,1,0.09
0.3,2,0.2
0.3,3,0.3
0.3,4,0.4
0.3,5,0.5
0.3,6,0.59
0.3,7,0.69
0.3,8.1,0.79
0.3,9,0.9
0.3,10.2,1
0.3,11.2,1.10
0.3,12.1,1.19
0.3,13.2,1.30
0.3,14.1,1.4
0.3,15,1.49
0.3,17.5,1.74
0.3,20.0,2
0.3,22.4,2.25
0.3,25,2.51
0.3,27.5,2.76
0.3,30,03.01
